distrito,centrosPrivadoporAlumno_100,centrosPublicoporAlumno_100,centrosPrivadoporAlumnoExtr_100,centrosPublicoporAlumnoExtr_100,porcApoyoEducativo,porcAlumnoExtranjero,bibliotecas_100,Atestados/partes de accidentes de tráfico confeccionados,detenidos_100,sumaIntervecniones,Número Habitantes,Población densidad (hab./Ha.),frac_extranjeros,frac_mujeres,frac_young,frac_old,frac_HighEduc,posicionVulnerabilidad,residuos(kg/hab/dia),zonasVerdes(ha),superficieDeportiva(m2),centrosDeportivos_100,espaciosCulturales_100,esperanzaVida,espectaculos_100,instalacionesDeportivasBasicas_100,piscinasCubiertas_100,añoMedioConstruccion,size,Viviendas en estado bueno,hogaresAncianoSolo,hogaresMonoparentales,viviendasMalEstado,rooms,price,priceByArea,bathrooms,hasLift,parkingSpace,newDevelopment,propertyType,pisoBajo,viviendas_habitante,drogas/especialidades_100,CentrosSalud_100,CentrosSaludMental_100,HospitalesClinicasSanatorios_100,CentrosMayores_100,CentrosAlzheimer_100,ServiciosSociales_100,AuxHogar_100,socioCentrosMayores_100,metro_100,estBici_100,numBici_100,crecimientoRentaPC,rentaMedia,localesAbiertos_100,paro_100,pensionMedia
Moncloa-Aravaca,77.44021693601172,39.869087875598254,54.26352782949048,67.16200406633335,57.768071543431,42.79430221844331,37.65267470866962,36.268205847448485,53.26352835175224,49.89367337499546,33.08075125968597,88.26316129866771,32.644835559876526,57.702103615198006,57.35852461328223,34.521748581210005,83.21694929837275,85.00000000000001,73.91130109537805,57.94176172465932,71.65903731488805,100.0,67.34410670715067,60.16075845012387,46.16450590334299,64.01916246485953,100.0,53.94560107454649,100.0,60.75576547818292,42.30331869192045,50.63592043761286,59.7215657604937,100.0,5.295881825745184,53.49406807633269,100.0,71.47292203354618,50.0,43.24324324324324,100.0,0.0,47.76951388519167,58.1569519112525,100.0,49.34464070463726,100.0,56.89772155985412,55.052290562959904,73.52603446566384,39.27623701623804,51.23062380731215,57.61579277654527,57.31301214383721,56.65718449104112,54.45053484138833,83.48135256277081,49.60535705474823,80.83247337453764,75.04074795128358
Moratalaz,57.85947099090926,55.72199356285359,84.37299894519555,66.49021278627141,81.7457886645932,42.79463935148622,61.05636102057296,81.92037976049195,57.91686431810631,55.99645152156526,20.512570368351863,46.50837537187946,28.847541399813203,64.7235527167405,18.858896992207,10.45307475382053,32.15031087617241,40.0,32.393801763291464,39.64433950468401,100.0,46.11370738492269,46.243442702908,54.10140148392399,44.16185132557219,80.8944348359839,35.246964956015326,53.94560107454649,42.5679676813412,85.9402985994707,8.233633627518287,61.10839960148368,50.0,39.13043478260868,81.29204725702749,65.23659250535752,31.896222815719184,45.00146942852908,50.0,43.24324324324324,32.25806451612904,36.74389773415262,53.47307259470971,42.06121677642906,31.525133427723183,59.44500621901528,31.718643621353127,55.28385303946758,74.82892518762925,43.85768874369391,75.07272903182691,100.0,39.72430375179756,43.2611850696985,43.44682642055597,41.04984353588448,38.24251682866054,37.60204730979984,42.94443333320488,50.34409381083896
Puente de Vallecas,21.284432438241623,65.64376423138911,34.57672878005446,31.19217117869976,80.42573124230412,79.70357322431396,49.64827827618673,7.336282231092895,39.7512919047337,48.35674117321525,87.23177639272808,44.86402147199588,73.79981654346574,41.345339975458494,68.24221171420157,68.41561577639037,0.0,0.0,43.895271172856006,80.11758773434707,85.46348084961043,45.72569267201328,25.743927966578784,0.0,45.51971996779579,47.92948830784113,52.88147515039429,51.830087306917214,33.623797564822326,5.560675234935153,56.31455738819636,53.73851273321264,8.385701124722516,24.476650563607063,86.31124223132379,73.70645032131212,29.49256009156809,12.04721210391594,50.0,51.35135135135135,34.67741935483871,70.07966582339833,45.02254327803668,53.78722828626241,79.99517694034701,49.84523083100203,31.718643621353127,51.166375027290734,40.64532794270149,66.68363182694905,70.75755648737614,57.73677826765269,37.05915170531463,39.53825502928392,39.66742416459676,16.610762276808543,10.631322021753164,41.43661723728047,0.0,0.0
Retiro,50.17693307934369,36.49150202206462,100.0,48.14150090109503,5.406165731621016,21.671663184023394,52.15720811141679,49.09159564138527,56.8130488420486,57.47683611006831,32.059641386181646,26.00245763808047,19.465932457568208,67.08675141008615,7.728252079868836,4.096757351100294,86.99855979387799,95.0,39.12636922254875,18.68807769384841,36.5381051754438,58.64432497180062,64.94230981012295,74.44352844187961,45.80266483610973,32.263664461150434,28.733540675904035,41.252518468770845,58.13916538101012,76.32444201553015,16.6952823104681,65.84760487209763,76.69779742770643,41.94847020933976,43.06712495820819,23.65532956591012,46.71880961465089,71.47292203354618,50.0,43.24324324324324,32.25806451612904,41.44711664412415,54.29442975935724,39.49472203415719,13.622398688093169,49.99207111711582,71.46471999561102,44.8609976567787,39.114051450505386,35.42677400571026,20.57414314435766,73.69948133043249,54.74479762159912,67.36508089762467,68.1209767648856,78.26682756222772,82.80472284804009,46.75647228169265,81.78748428126661,99.7374020917282
Salamanca,18.705289394670764,30.01945977503944,43.72724637318246,21.98795341415324,17.248847077109215,29.62132883010733,49.58967106706788,1.8534901283849337,39.73454914387086,48.66482811459102,44.74566484345312,8.582330875695263,49.59963634610236,82.0205359743597,29.11794784738785,22.666682891879447,94.79813391840156,90.0,49.78626769970612,18.46541445204562,20.04267249157935,48.73327877589461,53.41677176435898,76.1747732893646,63.595187577730016,14.943647676444256,63.6848113501874,28.5594358629952,60.36362219524853,74.80296189076249,41.02290188779513,75.79697285341807,72.72134403838933,47.584541062801925,0.0,0.0,56.33346051125524,63.531486252041056,50.0,43.24324324324324,32.25806451612904,57.56543978350577,83.89417831944668,100.0,55.35722274296583,72.0287369683227,63.98388952623424,26.98317025539984,51.34527013415099,29.494447578616743,23.777562413477902,30.86652623628684,63.96700776146477,79.34652846449615,78.8336833661281,46.22543104329864,94.1075740479724,68.50289157066453,85.13714751862472,89.73038438900711
San Blas-Canillejas,55.0578766506273,46.7138189945427,47.58558372023584,46.10359511297305,70.53711212680935,45.36739110067505,58.28951661942291,46.07832560146725,51.99623401219657,52.31589022158141,51.11043301056015,73.41385331781142,44.83764860763259,42.975711813066376,69.14463135106996,69.38849540071264,29.39113012101282,30.0,48.38364947902752,51.57988551147763,34.80816303295953,43.464331309165175,62.15229830850642,37.22176422093931,44.147888944605576,47.09900101852993,40.506486043067206,55.35594358629925,44.15521029473233,58.09933952508523,55.17820008165714,40.88889327843299,56.30813023798796,34.62157809983895,70.66643394792483,65.97744839875295,43.11331552842426,64.31847538354157,50.0,51.35135135135135,63.70967741935484,54.36735979553322,37.02235086533193,44.13363408509486,12.88540947067851,40.865317663401896,39.08897086559706,54.066062828846206,82.23926155783077,50.665563056896765,70.28844594710858,45.69127826865782,43.6727717553775,37.129455623691456,37.2220862697605,36.282289898349454,33.24616806641147,43.33154473760085,37.99002338570222,27.287544709557665
Tetuán,44.30221629824344,100.0,37.69969607140793,17.023390971204115,41.192786542508486,55.08769571565213,47.04805610607743,52.46736433272198,49.602826424372736,52.99872372633028,50.74894141749861,0.2966951235286501,75.72283956021076,65.50599658466282,39.59129541631272,56.75522235139577,54.06644356866472,35.0,42.492652952177394,25.306701352856287,23.87420380815576,43.55806060110224,33.425693782162,32.460840890354405,47.08120266869366,22.846579652544243,58.834944695307,47.599059771658666,36.86779708651354,29.889361666896825,46.56432370587586,68.41794295396258,23.50549675749716,42.51207729468598,55.21491244445417,44.56210865609896,46.71880961465089,52.942905210034205,50.0,43.24324324324324,32.25806451612904,41.643084098706304,62.59769612664332,58.50752079575972,13.21138043762904,67.33632810422061,39.12526699260718,34.94012548292303,44.77469952005031,50.89582676823001,46.48762660468834,36.44103584775598,47.49551076031707,49.750432501634265,49.80571442108235,29.710797046612,43.52623728442458,56.31952989566613,47.517812003322,45.49508760809527
Usera,20.892817787560443,58.84286019996423,34.8137207419829,16.022880719635214,100.0,80.97131753335044,48.5423483602957,66.15168842377818,50.22227586676836,51.05387637321574,42.68751730594559,37.65926141508215,93.4922997262999,43.56925252063391,80.5264495448641,76.30666897661716,2.695389424955585,9.999999999999998,36.60165642532728,51.7751834283127,60.73543358012908,54.87025160568562,78.39378273207467,22.073371805441088,43.22195692176202,74.79590952195456,65.5526562611114,55.00335795836112,38.19187852303059,42.63521247948948,56.10443791447099,50.73513426747717,45.97588153994364,32.93075684380031,84.05408556383817,71.60314135856765,29.89317054559327,0.0,50.0,43.24324324324324,32.25806451612904,69.55823973840279,36.001605925884135,54.00261565519431,58.77984966821593,44.244211914456,40.03902292197672,82.02736865617682,69.91621235005714,56.69272161288722,86.14677786910427,45.66504895690567,36.83032504100151,39.15488821876267,39.27824215665806,22.2373345877733,10.9043251305924,42.95698317398293,12.625202003702412,3.7318332050527534
Vicálvaro,70.10878546903866,34.918227989954254,47.594563337281386,63.965173827852205,41.5911236721101,36.00102257992066,54.55557689563525,100.0,58.104969430210375,55.72828001722995,13.238186861232665,89.77654895873755,39.36718668129019,28.870517967373,100.0,96.09745815401004,23.0901879641903,45.0,62.1293080416778,56.69811916969323,55.81657580884856,57.02693643838382,82.07831368960862,38.95300906842528,45.52980679771396,32.64930416594179,78.62051392940299,75.80591000671572,55.173222952756994,35.108390469429004,88.3465299628079,27.68170569342472,50.0,41.94847020933976,75.93813375917227,64.89209036679932,41.91148416634872,64.8550588822919,50.0,100.0,56.4516129032258,50.18525519587682,26.93281650722237,44.52585136701776,48.71733669962274,68.52276915029951,31.718643621353127,45.493822889104,22.513206644431445,100.0,48.68480318826811,50.518703927855015,41.45255900862327,37.129455623691456,37.2220862697605,31.60063812815741,26.29699802323108,35.302495729751364,30.788345792191905,18.13623398379137
Villa de Vallecas,49.30176118078789,34.94538942381064,56.98631566105935,31.480372257966515,42.86126526805562,31.639308324099343,44.01523688236136,85.09224296040566,51.72056060235982,45.1877196252241,30.197705760616845,89.5663562281723,43.74073265877696,28.228299667556943,94.89485648494356,100.0,26.00086513995354,25.0,100.0,82.66808964725729,39.31970486247788,46.567824481990826,35.36357223434064,12.118713932398784,44.9026026707728,74.65529684140029,42.195410588960605,67.69644056413676,42.521624821776,68.28399725401262,100.0,0.0,70.19526357012647,32.3671497584541,81.53266139889082,67.51847843456713,33.498664631819906,43.89849223665336,50.0,47.2972972972973,37.096774193548384,49.34180552871921,23.92643093107263,49.765518645280416,15.980183877099124,14.652484180505564,52.29177254751461,32.78758500710214,33.415323812700784,44.6944070682634,27.65132712612518,37.630864239428526,39.902911505745344,37.129455623691456,37.2220862697605,44.89395209948254,27.908891976856005,47.79647148243185,24.00068561205262,25.219586181916974
Villaverde,49.903905774595,40.33058931752607,37.96500839766493,18.75658487525283,42.22468586567318,69.45643276878987,41.830743138299184,79.22429604056532,52.052404756853925,50.90685632741373,48.58056895298795,71.9716078127021,80.09812475324631,36.37820761822883,87.26859651117118,75.4450973659111,1.1530760036214116,4.999999999999993,43.61474752872028,63.976114982053765,46.824270967445,60.56415697072769,58.82923868736878,30.296784830997435,47.33254078176936,48.03489353213536,60.49240419048567,55.35594358629925,36.62681426404419,26.003616912167764,61.918198205393445,41.15667502481601,31.50200222938679,30.676328502415444,87.31258413891314,76.17520947559153,27.48950782144218,2.64714526050171,50.0,53.37837837837838,32.25806451612904,61.77754513351839,30.52155140186594,59.378309267275,49.50747652621153,41.79623000480153,31.718643621353127,85.70561272112023,40.87908509516684,52.32609335659172,68.31366883910394,56.17324885920871,36.36426995275951,37.129455623691456,37.2220862697605,22.774221258666884,12.188354106616146,45.91293735976618,6.388958882538958,13.73885090777381
