Municipio,escuelas/100_alumnos_priv,escuelas/100_alumnos_pub,unidadEsc/100_alumnos_priv,unidadEsc/100_alumnos_pub,profesores/100_alumnos_pub,profesores/100_alumnos_priv,bibliotecas/100_alumnos,idiomas/10_alumnos,actividades/10_alumnos,Magnitud6,Magnitud7,Magnitud8,Magnitud10,Magnitud12,Magnitud14,Magnitud83,Magnitud88,Magnitud89,Total_x,frac_extranjeros,frac_young,frac_old,frac_HighEduc,edadMedia,densidad,serviciosOcio,serviciosGenerales,familiares,antiguedadFamiliares,superficieFamiliares,unidadesUrbanasResidenciales,1-3p,4+p,size,rooms,price,priceByArea_x,bathrooms,hasLift,parkingSpace,newDevelopment,propertyType,pisoBajo,numHouses,centros_100,farmacias_100,centrosSociales_10,clinicaDental_10,otroConsulta_100,consultaPrimaria_100,orgNoSanitaria_100,distanciaCentro_x,Bus_100,estacionTren_100,servicioCoches_100,estacionBus_100,trabajadoresLugarTrabajo,paro_100,rentaBruta,pensionMedia,trabajadores_100,contratos_100,pensionistas_100,ocupadosColectivos_100,funcionario_100,organizaciones_100,grupo,priceByArea_y,Total_y,distanciaCentro_y
Brea de Tajo,49.0983173689666,100.0,48.7297670605121,88.24838861374309,84.56733334983639,48.46789721672274,48.9251581669976,50.0,48.96177193079584,95.4002493838526,47.64108417247635,42.18699491585716,47.41250383643788,44.43102244469432,49.07094160469786,81.50406569145613,31.74048102010533,100.0,36.35659829236282,54.79411501079228,52.60466788998277,39.05696629262744,8.056016410248867,39.42136752136754,56.34519419858376,50.1705236232868,43.37579740172327,55.21492648343919,33.415410567557274,47.45666298100205,53.10051378664098,58.84668150724871,31.56547165025867,55.77593019443612,41.91663020692096,69.2556504176249,81.59780392714443,46.43363522334213,41.51070243542756,42.62057159175094,48.96437448218724,36.22820464665772,67.97620353108894,49.70178926441352,43.47909207943135,60.60464537727203,54.13411738925396,44.68278662862529,46.383235266670944,46.480345944650885,100.0,54.28062502566628,43.36222146241472,48.77222343132031,48.737630310809,69.31982626914665,64.15021962813647,22.44875468371169,32.791983349935336,42.81305550974033,49.235648438198005,49.42982315225155,30.680173730853355,53.03497016548023,48.01257739885215,47.78857917497257,1,739.135,541,65.168
Buitrago del Lozoya,50.53777530137247,42.07728059691191,63.71186280716952,50.41308192505248,47.382391747661735,74.51300331657407,49.43616208728777,50.0,49.500069066926734,26.36392013101168,54.11906051726041,56.02086011926094,59.49817878552897,55.21554936179337,44.190304553505314,22.93635081479197,45.61080470799435,35.47305118787024,76.29694896258829,100.0,68.16508970078314,54.16050606026515,46.73583430211749,57.88162393162396,40.721203986716105,52.01691198368521,44.076066987277706,36.48908543338002,53.71373032716016,45.94386519605601,38.70106559946356,36.623942559472844,58.97718396264226,46.69109811640061,40.5579548901238,39.87663458837193,34.04704885673473,38.52271959269863,41.51070243542756,38.35851443257585,48.96437448218724,23.054312047873086,45.31746902072595,44.23459244532803,38.19499910516634,44.17904587935342,50.80154697801458,84.72245339127319,46.383235266670944,38.44832063538824,63.80187883492212,38.45748121227055,48.27074072188011,48.77222343132031,49.71714741358557,53.93047713419504,96.17756784403394,60.48049371831606,55.61967072861757,52.756672225582,69.75540372134066,49.31317795283896,46.06952286580496,59.6521264133851,81.38027471993323,51.331974919213074,1,1492.6122222222225,1948,76.377
Bustarviejo,49.0983173689666,43.05866853005514,48.7297670605121,49.33071454237282,47.38863641989676,48.46789721672274,53.347222394963175,50.0,48.96177193079584,26.36392013101168,54.11906051726041,56.02086011926094,59.49817878552897,55.21554936179337,44.190304553505314,22.93635081479197,45.61080470799435,35.47305118787024,97.81420966481352,41.37160956585752,53.0153514393901,58.37966152127915,68.51861540547743,58.01324786324789,47.39094933145173,47.95351479655368,42.227661678223285,51.95010928414236,59.68450901791491,50.23598914404245,46.22062005918513,51.5481254981923,50.25867582851025,55.03651739798487,51.365599455555824,28.87799708800415,25.24204452584273,66.97700111003284,50.0,60.886530845358486,48.96437448218724,59.94121132447005,50.0,58.4493041749503,37.62586444936167,42.40989118011508,47.387116984352176,59.09469920320727,57.815930481427344,37.805656932378575,45.38339361471625,54.91163093918113,37.87547022171637,48.77222343132031,48.737630310809,44.09923515885015,66.11935134484627,48.67754022481816,61.42272498593228,51.33145185429533,55.17419339959686,49.13260517262692,55.90076484114985,43.32116229221265,48.01257739885215,48.64681094612563,1,1632.134090909091,2706,64.721
Cabanillas de la Sierra,49.0983173689666,43.099722121598006,48.7297670605121,61.9618894602737,56.13873688900867,48.46789721672274,48.9251581669976,50.0,48.96177193079584,26.36392013101168,54.11906051726041,56.02086011926094,59.49817878552897,55.21554936179337,44.190304553505314,22.93635081479197,45.61080470799435,35.47305118787024,45.80943181985755,39.3371027397585,59.943180713788855,59.36861777956143,76.40198321231446,59.00042735042739,43.64387348439065,47.3995185955086,42.064423857903975,43.09317897628992,52.608030569612986,68.09052114078933,43.38368567764774,43.80713084732632,51.96808992261845,62.12579973589023,54.82404571649408,28.17136754218872,29.08150327151316,43.33805954178596,50.0,63.93085738762642,48.96437448218724,59.94121132447005,50.0,54.07554671968191,40.6916997123048,51.94003805696945,46.63775808083096,44.68278662862529,81.78011541670627,41.26758114100885,45.38339361471625,67.94818487947106,48.586487852975374,48.77222343132031,48.737630310809,39.20451177802699,47.87592514591733,59.32334141503196,66.22559274769972,55.53185380663527,56.99648681977887,49.21137234172252,60.79548822197301,44.31509218378018,48.01257739885215,45.67348714936219,1,1571.295,874,55.486
Canencia,49.0983173689666,39.93859557279789,48.7297670605121,29.49033168245857,30.55300007426372,48.46789721672274,48.9251581669976,50.0,48.96177193079584,26.36392013101168,54.11906051726041,56.02086011926094,59.49817878552897,55.21554936179337,44.190304553505314,22.93635081479197,45.61080470799435,35.47305118787024,33.915325969946764,32.191659721614045,33.84741550672937,35.38221875761205,44.793254696528166,29.911538461538484,57.26147715919711,47.3995185955086,46.75462290762346,64.73778581748032,49.27929235215518,50.95720669267953,58.20809994484652,65.8892575309974,34.93074376280625,79.32039029196267,57.201727520889136,43.99648431673771,66.6805517551164,43.33805954178596,50.0,63.93085738762642,48.96437448218724,59.94121132447005,50.0,35.487077534791254,44.86186975743484,64.90300887014878,46.63775808083096,44.68278662862529,46.383235266670944,43.52090107618446,45.38339361471625,30.2600509219334,55.38702499753594,48.77222343132031,49.5763552849667,59.79201149649295,44.45890246103857,53.07471897729778,36.39691005476847,46.25616214928437,46.23097798277649,49.52732991311263,40.20798850350705,46.2218934675002,48.01257739885215,49.891768978928006,1,975.51,455,82.184
Carabaña,49.0983173689666,43.45438510024387,48.7297670605121,50.127307775397526,47.94298054347249,48.46789721672274,48.9251581669976,50.0,48.96177193079584,95.4002493838526,47.64108417247635,42.18699491585716,47.41250383643788,44.43102244469432,49.07094160469786,81.50406569145613,31.74048102010533,100.0,83.73431347971628,69.61705847868919,62.24841576683511,56.96301952618897,36.64156685991832,59.724358974359006,47.83543347765712,47.3995185955086,41.33819356558175,45.99833245438765,51.73510970839153,31.589876910986604,44.94974694904821,45.16035145860877,56.226395395870966,66.11103086062312,51.08768859530185,55.25720426505244,63.30488250633045,40.24248386022983,47.359632191884806,63.93085738762642,48.96437448218724,0.6586946299392382,60.42329202763461,65.00994035785288,37.95412914779151,43.43030177697133,47.555298892110784,62.3292279982266,46.383235266670944,38.68189899447648,50.15837487755376,70.82370847193133,38.758394501876566,48.77222343132031,48.91030898195911,43.74046582543008,62.35483482760695,40.34604364117258,42.837456039616015,47.794271262851176,53.55757849308169,49.1758622039693,56.25953417456992,55.65239009576801,48.01257739885215,44.1880025746512,1,1029.0,2210,53.449
Cenicientos,49.0983173689666,42.787357838119725,48.7297670605121,50.39240727066255,49.7675850339536,48.46789721672274,48.9251581669976,50.0,100.0,86.20790396962664,53.81579486372502,54.93637750583428,33.79682824795955,54.53703584796099,58.67543835972757,91.78286529666052,82.024200214645,11.888699761381943,80.29950009585183,53.28130079222607,52.08798367129875,40.39006560128533,7.865927372417625,44.68632478632482,51.748880485588366,48.1171412475086,42.31089028039373,43.08336736602726,43.69259884033787,42.7951349227381,48.57314132985705,41.34880160627875,61.924808363067626,50.14601521794767,81.19469845614826,64.82180605534587,75.66682704686602,64.3504520468943,41.51070243542756,40.4895430121634,48.96437448218724,49.88114788539816,67.97620353108894,70.47713717693837,38.05786221689012,43.75275595330809,49.54981915253286,63.3513531326077,46.383235266670944,39.36316858729784,52.455577447755616,11.993347295798957,38.84483292800258,48.77222343132031,48.737630310809,64.91302492037607,52.277513689150965,25.765924619792813,34.616436662205004,43.377499221140994,45.47275091339754,49.17034215362119,35.086975079623926,42.52417454127761,50.31742906920535,42.25297172686062,1,833.1157575757576,2089,95.124
Cervera de Buitrago,49.0983173689666,75.97543822911916,48.7297670605121,64.7451658412293,79.16590002227912,48.46789721672274,48.9251581669976,50.0,48.96177193079584,26.36392013101168,54.11906051726041,56.02086011926094,59.49817878552897,55.21554936179337,44.190304553505314,22.93635081479197,45.61080470799435,35.47305118787024,25.79667615353988,29.186516366626226,22.760917127354,35.836379552301665,37.6062380625248,25.107264957264974,55.71447367826997,56.27001398028969,58.297327032544246,59.93641871616041,42.06314656605782,19.4699039595003,54.367903477701496,63.81349389450388,27.239937930615,37.368443209097165,100.0,58.47846092806868,51.50329290324171,43.33805954178596,50.0,0.0,48.96437448218724,59.94121132447005,50.0,36.58051689860835,59.58263891986563,37.86330364170312,46.63775808083096,44.68278662862529,46.383235266670944,55.98785936706013,45.38339361471625,30.371570982711177,56.78094372744822,48.77222343132031,48.737630310809,54.808659464690926,40.34689211143871,43.50892660348248,35.682499990937046,51.778303125820855,35.92599600234991,50.180685507813614,45.191340535309074,47.789655652469605,48.01257739885215,47.218492485160425,1,1216.005,169,82.105
Chapinería,100.0,41.587878989563166,100.0,49.65900110967294,49.46419685037955,88.86260264594344,51.0356888212539,50.0,51.62967930714055,86.20790396962664,53.81579486372502,54.93637750583428,33.79682824795955,54.53703584796099,58.67543835972757,91.78286529666052,82.024200214645,11.888699761381943,92.30715349564242,48.570237893168425,68.43895952367448,59.38873891703808,55.94214020753861,61.86324786324789,34.94291008604604,47.9962995350102,40.92228232452617,36.33479412734747,52.02608332879869,51.99505633584016,37.62769279745053,33.43660288973768,71.41106081731319,60.08052340418594,48.87984120550647,34.647696844041945,35.08995051513806,50.56106946541694,50.0,59.66880022845131,48.96437448218724,59.94121132447005,50.0,54.07554671968191,37.7388224178908,42.761020950199445,47.4449894474426,75.73265559902269,46.383235266670944,38.37799503495292,50.42449644475011,65.44674756683503,37.9225328850642,48.77222343132031,48.737630310809,44.35573952537253,65.71394187375896,49.21754463301741,54.17987112875725,50.818748816439744,51.86390749453415,49.13996318998322,55.64426047462747,44.39691736130699,48.970944265764544,45.30003769226536,1,1476.0866666666666,2512,57.258
Colmenar del Arroyo,49.0983173689666,45.12375278953476,48.7297670605121,57.38984072896777,50.37120868616448,48.46789721672274,56.27405627246558,50.0,48.96177193079584,86.20790396962664,53.81579486372502,54.93637750583428,33.79682824795955,54.53703584796099,58.67543835972757,91.78286529666052,82.024200214645,11.888699761381943,75.95630631294885,54.65107046712991,54.90673872781677,53.23545058485566,53.63655441200032,54.98589743589745,49.598471152550005,48.17385419469662,41.85753745642796,37.87145843700592,61.60493491260212,51.95987499200422,39.28859611706448,39.15071366220755,53.352233059007645,52.97199903736704,50.78198664902251,43.41241782199974,43.64986055773238,56.33947740432173,41.51070243542756,46.88262875092604,48.96437448218724,26.7430019755328,0.0,56.2624254473161,38.20759269403609,44.21819304198348,47.68515745734357,64.82670988627973,46.383235266670944,39.61678082628543,50.83417284553799,59.917328857131125,38.96959995649272,48.77222343132031,48.93474800876445,37.31360041135388,65.13478548649137,47.520387921534045,54.509565449262944,53.04359777887735,43.74080215972319,49.37732939360901,62.686399588646125,58.33946548942195,48.01257739885215,45.8324684485457,1,1340.4485,1936,61.175
